issue_id,ml_label,device_type,condition_signature,issue_title,problem_summary,cause_analysis,risk_impact,severity,recommended_action,reassurance,user_message
1,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Minor electrical anomaly,Slight deviation from normal behavior,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Minor electrical anomaly

Why this happened:
• Slight deviation from normal behavior

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
2,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(45, 60)",WARNING Electrical Issue Detected,Rising temperature,Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Rising temperature

Why this happened:
• Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
3,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(0, 1), temp:(60, 95)",WARNING Electrical Issue Detected,Overheating,Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Overheating

Why this happened:
• Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
4,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(25, 45)",WARNING Electrical Issue Detected,Intermittent electrical instability,Minor wiring or contact issues,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability

Why this happened:
• Minor wiring or contact issues

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
5,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(45, 60)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Rising temperature",Minor wiring or contact issues; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability, Rising temperature

Why this happened:
• Minor wiring or contact issues; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
6,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(2, 5), temp:(60, 95)",WARNING Electrical Issue Detected,"Intermittent electrical instability, Overheating",Minor wiring or contact issues; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Intermittent electrical instability, Overheating

Why this happened:
• Minor wiring or contact issues; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
7,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(25, 45)",WARNING Electrical Issue Detected,Severe electrical spikes,Possible loose wiring or sparking,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes

Why this happened:
• Possible loose wiring or sparking

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
8,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(45, 60)",WARNING Electrical Issue Detected,"Severe electrical spikes, Rising temperature",Possible loose wiring or sparking; Continuous electrical load,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes, Rising temperature

Why this happened:
• Possible loose wiring or sparking; Continuous electrical load

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
9,Warning,Fan,"ΔI:(1.05, 1.15), spikes:(6, 15), temp:(60, 95)",WARNING Electrical Issue Detected,"Severe electrical spikes, Overheating",Possible loose wiring or sparking; Electrical stress causing temperature rise,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Severe electrical spikes, Overheating

Why this happened:
• Possible loose wiring or sparking; Electrical stress causing temperature rise

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
10,Warning,Fan,"ΔI:(1.15, 1.35), spikes:(0, 1), temp:(25, 45)",WARNING Electrical Issue Detected,Electrical overload,Device is drawing more current than expected,Performance degradation may occur over time,WARNING,Monitor the device and avoid prolonged operation,This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage.,"🚨 WARNING Electrical Issue Detected – Fan

Problems detected:
• Electrical overload

Why this happened:
• Device is drawing more current than expected

How serious is this:
• Severity: WARNING
• Impact: Performance degradation may occur over time

What you should do now:
• Monitor the device and avoid prolonged operation

Good to know:
• This alert is based on electrical behavior analysis. It does not necessarily indicate permanent damage."
